"","X","dateAdded","dateUpdated","name","reviews.date","reviews.dateSeen","reviews.doRecommend","reviews.numHelpful","reviews.rating","reviews.text","reviews.title","reviews.username","alexa","echo","exp_fun","exp_helpful","exp_educational","exp_information","exp_communicate","exp_travel","exp_entertain","exp_daily","exp_home","exp_morning","emo_love","emo_happy","emo_enjoy","emo_satisfied","emo_excited","mat_userfriendly","mat_feature","mat_battery","mat_warranty","mat_setup","mat_durable","aes_pretty","aes_beautiful","sum_exp","sum_exp_bin","sum_emo","sum_emo_bin","sum_mat","sum_mat_bin","sum_aes","sum_aes_bin","date"
"1",1,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-09-03T00:00:00.000Z","2018-05-27T00:00:00Z,2017-09-18T00:00:00Z,2017-09-06T00:00:00Z,2017-09-12T00:00:00Z",FALSE,0,3,"I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.","Too small","llyyue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"2",2,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-06-06T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"This kindle is light and easy to use especially at the beach!!!","Great light reader. Easy to use at the beach","Charmi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"3",3,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-04-20T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,4,"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark","Great for the price","johnnyjojojo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2018
"4",4,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-11-02T17:33:31.000Z","2018-10-09T00:00:00Z",TRUE,3,5,"I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.","A Great Buy","Kdperry",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2017
"5",5,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-04-24T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.","Solid entry-level Kindle. Great for kids","Johnnyblack",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,2018
"6",6,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2016-12-14T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",FALSE,0,5,"This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.","Good ebook","rmwarriors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"7",7,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-12-20T17:38:23.000Z","2018-10-09T00:00:00Z",TRUE,0,5,"I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.","Light Weight - Makes a world of difference when taking books on the go!","LexieCrews",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,2017
"8",8,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-07-14T00:00:00.000Z","2017-07-31T00:00:00Z,2017-07-26T00:00:00Z,2018-05-27T00:00:00Z,2017-08-01T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",FALSE,0,4,"I bought my Kindle about 2 months ago and the battery is already dead and will not charge","not good quality","merry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2017
"9",9,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-05-23T00:00:00.000Z","2018-05-26T00:00:00Z",TRUE,0,5,"amazon kindle is always the best ebook, upgrade every new model","best ebook","STEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"10",10,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-01-12T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"It's beyond my expectation, and it can even show music score. Not fast turning though.","Great Product","AEBY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
